GeneID	ExpectedReadCount	TPM
Gene00001	0	0
Gene00002	0	0
Gene00003	170	27.69
Gene00004	1	0.06
Gene00005	873.71	109.86
Gene00006	22	2.86
Gene00007	0	0
Gene00008	0	0
Gene00009	20	3.37
Gene00010	8	5.66
Gene00011	2.57	0.35
Gene00012	0	0
Gene00013	17	3.9
Gene00014	0	0
Gene00015	143.43	3.4
Gene00016	0	0
Gene00017	2	0.18
Gene00018	31	3.84
Gene00019	38	13.35
Gene00020	0	0
Gene00021	56	14.18
Gene00022	0	0
Gene00023	0	0
Gene00024	0	0
Gene00025	2	0.52
Gene00026	0	0
Gene00027	0	0
Gene00028	159	20.04
Gene00029	98	8.92
Gene00030	6	1.45
Gene00031	0	0
Gene00032	0	0
Gene00033	0	0
Gene00034	179	21.19
Gene00035	0	0
Gene00036	714	13.64
Gene00037	12	5.17
Gene00038	108	10.78
Gene00039	34	1.07
Gene00040	213	12.96
Gene00041	7	3.32
Gene00042	0	0
Gene00043	83	4.59
Gene00044	197	15.62
Gene00045	30	4.11
Gene00046	0	0
Gene00047	0	0
Gene00048	449	22.78
Gene00049	32	5.63
Gene00050	61	2.62
Gene00051	0	0
Gene00052	28	4.25
Gene00053	59	4.76
Gene00054	0	0
Gene00055	119	22.73
Gene00056	8	6.82
Gene00057	0	0
Gene00058	106	5.92
Gene00059	60	8.59
Gene00060	1	0.58
Gene00061	0	0
Gene00062	54	18.09
Gene00063	19	1.8
Gene00064	2	0.14
Gene00065	0	0
Gene00066	29	1.15
Gene00067	0	0
Gene00068	458	13.24
Gene00069	26	11.4
Gene00070	0	0
Gene00071	25.14	2.44
Gene00072	1	0.02
Gene00073	0	0
Gene00074	0	0
Gene00075	0	0
Gene00076	0	0
Gene00077	0	0
Gene00078	2230	178.84
Gene00079	0	0
Gene00080	0	0
Gene00081	0	0
Gene00082	0	0
Gene00083	844	22.75
Gene00084	151	12.74
Gene00085	0	0
Gene00086	33	1.27
Gene00087	14	0.3
Gene00088	280	8.64
Gene00089	181	17.15
Gene00090	719.42	22.42
Gene00091	212	3.37
Gene00092	206	3.9
Gene00093	199	16.45
Gene00094	117	3.52
Gene00095	244	15.14
Gene00096	142	6.51
Gene00097	140	4.7
Gene00098	1491.54	91.47
Gene00099	3910.46	239.82
Gene00100	0	0
Gene00101	167.38	29.43
