GeneID	ExpectedReadCount	TPM
Gene00001	0	0
Gene00002	0	0
Gene00003	188	35.85
Gene00004	0	0
Gene00005	787.19	115.47
Gene00006	26	3.95
Gene00007	0	0
Gene00008	0	0
Gene00009	31	6.12
Gene00010	9	7.87
Gene00011	5.49	0.88
Gene00012	0.84	0.05
Gene00013	14	3.79
Gene00014	1	0.27
Gene00015	125.68	3.44
Gene00016	0	0
Gene00017	4	0.43
Gene00018	33	4.77
Gene00019	52	21.79
Gene00020	0	0
Gene00021	0	0
Gene00022	0	0
Gene00023	0	0
Gene00024	0	0
Gene00025	6	1.85
Gene00026	0	0
Gene00027	0	0
Gene00028	268	39.42
Gene00029	124	13.13
Gene00030	6	1.71
Gene00031	0	0
Gene00032	0	0
Gene00033	0	0
Gene00034	188	25.94
Gene00035	0	0
Gene00036	731	16.13
Gene00037	18	9.33
Gene00038	103	11.97
Gene00039	12	0.44
Gene00040	326	23
Gene00041	11	6.3
Gene00042	1	3.21
Gene00043	78	4.99
Gene00044	277	25.5
Gene00045	54	8.65
Gene00046	0	0
Gene00047	0	0
Gene00048	618	36.32
Gene00049	66	13.6
Gene00050	107	5.32
Gene00051	0	0
Gene00052	41	7.27
Gene00053	85	7.96
Gene00054	0	0
Gene00055	162	36.32
Gene00056	10	10.66
Gene00057	0	0
Gene00058	114	7.38
Gene00059	51	8.53
Gene00060	1	0.71
Gene00061	2	0.19
Gene00062	74	29.52
Gene00063	31	3.42
Gene00064	4	0.32
Gene00065	0	0
Gene00066	24	1.1
Gene00067	0	0
Gene00068	569	19.01
Gene00069	43	22.68
Gene00070	0	0
Gene00071	24	2.71
Gene00072	0	0
Gene00073	0	0
Gene00074	0	0
Gene00075	0	0
Gene00076	0	0
Gene00077	0	0
Gene00078	3339	311.02
Gene00079	1	0.03
Gene00080	0	0
Gene00081	0	0
Gene00082	0	0
Gene00083	790	24.61
Gene00084	163	15.98
Gene00085	0	0
Gene00086	39	1.73
Gene00087	18	0.44
Gene00088	266	9.49
Gene00089	81	8.93
Gene00090	802	28.9
Gene00091	247	4.53
Gene00092	194	4.25
Gene00093	197	18.92
Gene00094	130	4.52
Gene00095	354	25.46
Gene00096	185	9.82
Gene00097	145	5.63
Gene00098	1677.95	119.31
Gene00099	4864.05	345.85
Gene00100	0	0
Gene00101	286.67	59.09
