GeneID	ExpectedReadCount	TPM
Gene00001	0	0
Gene00002	0	0
Gene00003	195	52.97
Gene00004	0	0
Gene00005	745.35	155.26
Gene00006	17	3.67
Gene00007	0	0
Gene00008	0	0
Gene00009	11	3.09
Gene00010	7	8.89
Gene00011	3.42	0.78
Gene00012	21.54	1.65
Gene00013	10	3.87
Gene00014	1	0.39
Gene00015	119.03	4.59
Gene00016	0	0
Gene00017	1	0.15
Gene00018	22	4.51
Gene00019	32	19.33
Gene00020	0	0
Gene00021	104	44.61
Gene00022	0	0
Gene00023	0	0
Gene00024	0	0
Gene00025	3	1.33
Gene00026	0	0
Gene00027	0	0
Gene00028	102	21.3
Gene00029	61	9.14
Gene00030	4	1.64
Gene00031	0	0
Gene00032	0	0
Gene00033	0	0
Gene00034	228	44.65
Gene00035	0	0
Gene00036	540	16.76
Gene00037	5	3.75
Gene00038	134	22.06
Gene00039	26	1.33
Gene00040	155	15.44
Gene00041	8	6.63
Gene00042	1	4.58
Gene00043	59	5.33
Gene00044	140	18.23
Gene00045	26	5.92
Gene00046	0	0
Gene00047	0	0
Gene00048	320	26.53
Gene00049	30	8.82
Gene00050	63	4.42
Gene00051	0	0
Gene00052	20	5.05
Gene00053	45	5.96
Gene00054	0	0
Gene00055	69	22.09
Gene00056	5	7.75
Gene00057	0	0
Gene00058	83	7.59
Gene00059	39	9.28
Gene00060	0	0
Gene00061	0	0
Gene00062	39	22.42
Gene00063	20	3.12
Gene00064	3.72	0.42
Gene00065	0	0
Gene00066	26	1.68
Gene00067	1	0.51
Gene00068	487	22.9
Gene00069	22	16.79
Gene00070	0	0
Gene00071	34	5.44
Gene00072	0	0
Gene00073	0	0
Gene00074	0	0
Gene00075	0	0
Gene00076	0	0
Gene00077	0	0
Gene00078	2426	319.62
Gene00079	1	0.04
Gene00080	0	0
Gene00081	0	0
Gene00082	0	0
Gene00083	336	14.73
Gene00084	111	15.4
Gene00085	0	0
Gene00086	34	2.13
Gene00087	12	0.41
Gene00088	193	9.7
Gene00089	84	13.11
Gene00090	503	25.52
Gene00091	198	5.11
Gene00092	176	5.42
Gene00093	94	12.77
Gene00094	61	2.99
Gene00095	141	14.32
Gene00096	108	8.08
Gene00097	98	5.36
Gene00098	1958.32	196.61
Gene00099	4912.68	493.23
Gene00100	0	0
Gene00101	146.69	43.11
