GeneID	ExpectedReadCount	TPM
Gene00001	0	0
Gene00002	0	0
Gene00003	185	32.24
Gene00004	0	0
Gene00005	1056.54	141.84
Gene00006	13	1.81
Gene00007	0	0
Gene00008	0	0
Gene00009	32	5.77
Gene00010	6	4.72
Gene00011	9.48	1.39
Gene00012	3.03	0.15
Gene00013	21	5.18
Gene00014	0	0
Gene00015	153.49	3.86
Gene00016	0	0
Gene00017	0	0
Gene00018	40	5.29
Gene00019	55	20.94
Gene00020	0	0
Gene00021	6	1.64
Gene00022	0	0
Gene00023	0	0
Gene00024	0	0
Gene00025	7	1.97
Gene00026	0	0
Gene00027	0	0
Gene00028	227	30.56
Gene00029	85	8.24
Gene00030	0	0
Gene00031	0	0
Gene00032	0	0
Gene00033	0	0
Gene00034	222	28.05
Gene00035	0	0
Gene00036	725	14.69
Gene00037	10	4.7
Gene00038	102	10.86
Gene00039	21	0.7
Gene00040	284	18.38
Gene00041	10	5.18
Gene00042	0	0
Gene00043	168	9.87
Gene00044	226	19.08
Gene00045	32	4.69
Gene00046	0	0
Gene00047	0	0
Gene00048	541	29.17
Gene00049	54	10.17
Gene00050	101	4.61
Gene00051	0	0
Gene00052	42	6.81
Gene00053	74	6.35
Gene00054	0	0
Gene00055	154	31.53
Gene00056	7	6.7
Gene00057	0	0
Gene00058	115	6.83
Gene00059	55	8.42
Gene00060	0	0
Gene00061	1	0.09
Gene00062	41	14.87
Gene00063	20	2.02
Gene00064	4	0.29
Gene00065	0	0
Gene00066	27	1.14
Gene00067	0	0
Gene00068	645	19.79
Gene00069	48	22.95
Gene00070	1	0.05
Gene00071	36	3.72
Gene00072	0	0
Gene00073	0	0
Gene00074	0	0
Gene00075	0	0
Gene00076	1	0.11
Gene00077	0	0
Gene00078	4678	399.44
Gene00079	3	0.08
Gene00080	0	0
Gene00081	0	0
Gene00082	0	0
Gene00083	524	14.99
Gene00084	133	11.95
Gene00085	0	0
Gene00086	49	2
Gene00087	12	0.27
Gene00088	247	8.09
Gene00089	124	12.52
Gene00090	704	23.29
Gene00091	234	3.94
Gene00092	187	3.76
Gene00093	159	14
Gene00094	103	3.29
Gene00095	289	19.07
Gene00096	161	7.84
Gene00097	112	3.99
Gene00098	3215.98	209.75
Gene00099	8337.02	543.76
Gene00100	0	0
Gene00101	175.4	33.03
