GeneID	ExpectedReadCount	TPM
Gene00001	0	0
Gene00002	0	0
Gene00003	225	44.5
Gene00004	0	0
Gene00005	1040.08	157.66
Gene00006	25	3.93
Gene00007	0	0
Gene00008	0	0
Gene00009	14	2.87
Gene00010	9	8.08
Gene00011	14.36	2.38
Gene00012	18.06	1
Gene00013	22	6.21
Gene00014	2	0.56
Gene00015	105.58	2.95
Gene00016	0	0
Gene00017	0	0
Gene00018	28	4.18
Gene00019	41	17.97
Gene00020	0	0
Gene00021	140	43.71
Gene00022	0	0
Gene00023	0	0
Gene00024	0	0
Gene00025	6	1.94
Gene00026	0	0
Gene00027	0	0
Gene00028	159	24.17
Gene00029	84	9.15
Gene00030	0	0
Gene00031	0	0
Gene00032	0	0
Gene00033	0	0
Gene00034	254	36.19
Gene00035	0	0
Gene00036	725	16.33
Gene00037	11	5.96
Gene00038	116	13.89
Gene00039	45	1.67
Gene00040	266	19.25
Gene00041	13	7.76
Gene00042	1	2.88
Gene00043	116	7.61
Gene00044	220	20.82
Gene00045	35	5.8
Gene00046	0	0
Gene00047	0	0
Gene00048	537	32.33
Gene00049	41	8.78
Gene00050	87	4.43
Gene00051	0	0
Gene00052	29	5.33
Gene00053	62	5.97
Gene00054	0	0
Gene00055	142	33.11
Gene00056	2	2.16
Gene00057	0	0
Gene00058	145	9.63
Gene00059	63	10.91
Gene00060	0	0
Gene00061	0	0
Gene00062	55	22.95
Gene00063	28	3.18
Gene00064	4.34	0.36
Gene00065	0	0
Gene00066	28	1.31
Gene00067	1	0.37
Gene00068	593	20.24
Gene00069	41	22.58
Gene00070	0	0
Gene00071	38.87	4.52
Gene00072	0	0
Gene00073	0	0
Gene00074	0	0
Gene00075	0	0
Gene00076	0	0
Gene00077	2	0.3
Gene00078	3468	332.1
Gene00079	4	0.11
Gene00080	0	0
Gene00081	0	0
Gene00082	0	0
Gene00083	605	19.26
Gene00084	137	13.82
Gene00085	0	0
Gene00086	38	1.72
Gene00087	19	0.48
Gene00088	303	11.05
Gene00089	102	11.58
Gene00090	789	29.06
Gene00091	270	5.05
Gene00092	219	4.89
Gene00093	155	15.31
Gene00094	102	3.62
Gene00095	283	20.88
Gene00096	188	10.22
Gene00097	131	5.2
Gene00098	1414.7	103.19
Gene00099	4187.3	305.42
Gene00100	0	0
Gene00101	230.03	49.24
