GeneID	ExpectedReadCount	TPM
Gene00001	0	0
Gene00002	0	0
Gene00003	145	47.04
Gene00004	0	0
Gene00005	409.1	102.82
Gene00006	19	4.94
Gene00007	0	0
Gene00008	0	0
Gene00009	13	4.36
Gene00010	7	9.54
Gene00011	12.1	3.31
Gene00012	25.67	2.42
Gene00013	16	7.27
Gene00014	0	0
Gene00015	58.23	2.79
Gene00016	0	0
Gene00017	2	0.37
Gene00018	22	5.45
Gene00019	25	17.24
Gene00020	0	0
Gene00021	0	0
Gene00022	0	0
Gene00023	0	0
Gene00024	0	0
Gene00025	8	4.13
Gene00026	0	0
Gene00027	0	0
Gene00028	115	28.98
Gene00029	64	11.68
Gene00030	0.53	0.26
Gene00031	0	0
Gene00032	0	0
Gene00033	0	0
Gene00034	213	50.43
Gene00035	0	0
Gene00036	576	22.21
Gene00037	4	3.37
Gene00038	79	15.8
Gene00039	8	0.51
Gene00040	172	21.05
Gene00041	7	6.47
Gene00042	2	8.62
Gene00043	66	7.34
Gene00044	226	35.97
Gene00045	12	3.29
Gene00046	0	0
Gene00047	0	0
Gene00048	455	46.46
Gene00049	48	16.79
Gene00050	45	3.9
Gene00051	0	0
Gene00052	20	6.05
Gene00053	31	5.01
Gene00054	0	0
Gene00055	86	32.64
Gene00056	1	1.63
Gene00057	0	0
Gene00058	72	8.09
Gene00059	37	10.57
Gene00060	0	0
Gene00061	0	0
Gene00062	60	39.5
Gene00063	13	2.47
Gene00064	0	0
Gene00065	0	0
Gene00066	14	1.12
Gene00067	3	1.77
Gene00068	278	16.2
Gene00069	40	34.23
Gene00070	0	0
Gene00071	27	5.25
Gene00072	0	0
Gene00073	0	0
Gene00074	0	0
Gene00075	0	0
Gene00076	1	0.21
Gene00077	0	0
Gene00078	3246	522.5
Gene00079	2	0.1
Gene00080	0	0
Gene00081	0	0
Gene00082	0	0
Gene00083	368	20.01
Gene00084	50	8.47
Gene00085	0	0
Gene00086	19	1.47
Gene00087	8	0.34
Gene00088	118	7.34
Gene00089	58	11.02
Gene00090	423	26.58
Gene00091	172	5.52
Gene00092	109	4.17
Gene00093	87	14.43
Gene00094	71	4.3
Gene00095	211	26.32
Gene00096	78	7.2
Gene00097	80	5.41
Gene00098	1207.13	148.85
Gene00099	3011.87	371.39
Gene00100	0	0
Gene00101	146.12	51.12
