GeneID	ExpectedReadCount	TPM
Gene00001	0	0
Gene00002	0	0
Gene00003	162	37.62
Gene00004	0	0
Gene00005	835.65	148.85
Gene00006	18	3.32
Gene00007	0	0
Gene00008	0	0
Gene00009	14	3.37
Gene00010	4	4.38
Gene00011	18.9	3.68
Gene00012	10.04	0.66
Gene00013	14	4.63
Gene00014	2	0.66
Gene00015	109.05	3.6
Gene00016	0	0
Gene00017	1	0.13
Gene00018	20	3.51
Gene00019	46	23.77
Gene00020	0	0
Gene00021	74	27.12
Gene00022	0	0
Gene00023	0	0
Gene00024	0	0
Gene00025	3	1.14
Gene00026	0	0
Gene00027	0	0
Gene00028	144	25.72
Gene00029	66	8.46
Gene00030	7	2.45
Gene00031	0	0
Gene00032	1	1.87
Gene00033	0	0
Gene00034	188	31.49
Gene00035	0	0
Gene00036	631	16.77
Gene00037	10	6.42
Gene00038	91	12.81
Gene00039	22	0.97
Gene00040	173	14.75
Gene00041	13	9.24
Gene00042	0	0
Gene00043	60	4.64
Gene00044	199	22.17
Gene00045	16	3.11
Gene00046	0	0
Gene00047	0	0
Gene00048	417	29.59
Gene00049	39	9.8
Gene00050	58	3.48
Gene00051	0	0
Gene00052	25	5.4
Gene00053	52	5.89
Gene00054	0	0
Gene00055	105	28.73
Gene00056	11	14.74
Gene00057	0	0
Gene00058	84	6.57
Gene00059	44	8.95
Gene00060	0	0
Gene00061	0	0
Gene00062	46	22.61
Gene00063	24	3.21
Gene00064	1	0.1
Gene00065	0	0
Gene00066	26	1.44
Gene00067	0	0
Gene00068	395	15.9
Gene00069	26	16.99
Gene00070	0	0
Gene00071	33	4.51
Gene00072	0	0
Gene00073	0	0
Gene00074	1	0.23
Gene00075	0	0
Gene00076	1	0.14
Gene00077	1	0.18
Gene00078	2691	303.33
Gene00079	1	0.03
Gene00080	0	0
Gene00081	0	0
Gene00082	0	0
Gene00083	557	20.91
Gene00084	113	13.41
Gene00085	0	0
Gene00086	32	1.71
Gene00087	18	0.53
Gene00088	245	10.54
Gene00089	154	20.57
Gene00090	566	24.59
Gene00091	239	5.28
Gene00092	196	5.17
Gene00093	135	15.69
Gene00094	98	4.11
Gene00095	219	19.04
Gene00096	147	9.42
Gene00097	128	5.99
Gene00098	1569.14	134.82
Gene00099	4792.86	411.8
Gene00100	0	0
