GeneID	ExpectedReadCount	TPM
Gene00001	0	0
Gene00002	0	0
Gene00003	166	35.5
Gene00004	0	0
Gene00005	905.72	148.39
Gene00006	20	3.39
Gene00007	0	0
Gene00008	0	0
Gene00009	25	5.54
Gene00010	3	3.09
Gene00011	22.01	3.94
Gene00012	6.11	0.37
Gene00013	10	3.06
Gene00014	0	0
Gene00015	94.88	2.87
Gene00016	0	0
Gene00017	1	0.12
Gene00018	21	3.39
Gene00019	51	24.45
Gene00020	0	0
Gene00021	0	0
Gene00022	0	0
Gene00023	0	0
Gene00024	0	0
Gene00025	4	1.4
Gene00026	0	0
Gene00027	0	0
Gene00028	149	24.48
Gene00029	80	9.42
Gene00030	6	1.94
Gene00031	0	0
Gene00032	0	0
Gene00033	0	0
Gene00034	217	33.42
Gene00035	0	0
Gene00036	577	14.05
Gene00037	4	2.39
Gene00038	84	10.87
Gene00039	25	1.01
Gene00040	197	15.41
Gene00041	4	2.65
Gene00042	0	0
Gene00043	157	11.14
Gene00044	163	16.68
Gene00045	30	5.37
Gene00046	0	0
Gene00047	0	0
Gene00048	445	28.96
Gene00049	38	8.8
Gene00050	64	3.52
Gene00051	0	0
Gene00052	16	3.18
Gene00053	41	4.27
Gene00054	0	0
Gene00055	116	29.26
Gene00056	2	2.53
Gene00057	0	0
Gene00058	79	5.67
Gene00059	42	7.86
Gene00060	0	0
Gene00061	1	0.11
Gene00062	45	20.51
Gene00063	16	1.96
Gene00064	2	0.18
Gene00065	0	0
Gene00066	30	1.52
Gene00067	0	0
Gene00068	393	14.51
Gene00069	32	19.47
Gene00070	1	0.06
Gene00071	36	4.53
Gene00072	0	0
Gene00073	0	0
Gene00074	0	0
Gene00075	0	0
Gene00076	0	0
Gene00077	0	0
Gene00078	3090	319.84
Gene00079	2	0.06
Gene00080	0	0
Gene00081	0	0
Gene00082	0	0
Gene00083	476	16.38
Gene00084	121	13.19
Gene00085	0	0
Gene00086	38	1.86
Gene00087	13	0.35
Gene00088	184	7.26
Gene00089	142	17.42
Gene00090	639	25.45
Gene00091	239	4.83
Gene00092	141	3.41
Gene00093	155	16.54
Gene00094	93	3.57
Gene00095	264	21.06
Gene00096	126	7.4
Gene00097	119	5.11
Gene00098	2610.12	205.8
Gene00099	6607.88	521.01
Gene00100	0	0
Gene00101	167	38.66
