GeneID	KEGG	Pfam	GO
Gene00001			
Gene00002			
Gene00003		PF00534.19,PF13692.5	
Gene00004		PF08246.11,PF00112.22	GO:0006508,GO:0008234
Gene00005	K02868	PF00281.18,PF00673.20	
Gene00006		PF13445.5,PF17123.4,PF00097.24	GO:0046872
Gene00007			
Gene00008			
Gene00009			
Gene00010			
Gene00011			
Gene00012		PF00931.21	GO:0043531
Gene00013		PF01582.19	GO:0005515,GO:0007165
Gene00014			
Gene00015		PF00931.21	GO:0043531
Gene00016			
Gene00017		PF01485.20	
Gene00018		PF01582.19	GO:0005515,GO:0007165
Gene00019			
Gene00020			
Gene00021			
Gene00022		PF05970.13	GO:0000723,GO:0003678,GO:0006281
Gene00023			
Gene00024		PF13456.5	
Gene00025			
Gene00026			
Gene00027		PF01556.17	
Gene00028			
Gene00029			
Gene00030			
Gene00031			
Gene00032			
Gene00033		PF00106.24,PF13561.5	
Gene00034			
Gene00035			
Gene00036		PF15996.4	
Gene00037			
Gene00038			
Gene00039		PF03407.15	
Gene00040	K14640	PF01384.19	GO:0005315,GO:0006817,GO:0016020
Gene00041			
Gene00042			
Gene00043		PF14226.5,PF03171.19	GO:0016491,GO:0055114
Gene00044	K14640	PF01384.19	GO:0005315,GO:0006817,GO:0016020
Gene00045			
Gene00046			
Gene00047			
Gene00048		PF14226.5,PF03171.19	GO:0016491,GO:0055114
Gene00049			
Gene00050			
Gene00051		PF03401.13	GO:0030288
Gene00052		PF01582.19,PF13676.5	GO:0005515,GO:0007165
Gene00053		PF00931.21	GO:0043531
Gene00054			
Gene00055			
Gene00056			
Gene00057		PF16036.4	
Gene00058		PF00641.17,PF00641.17	
Gene00059			
Gene00060			
Gene00061			
Gene00062		PF05057.13	
Gene00063		PF11955.7	
Gene00064		PF00400.31,PF12894.6,PF00400.31,PF00400.31	GO:0005515
Gene00065			
Gene00066		PF01535.19,PF13041.5,PF01535.19,PF01535.19,PF13041.5,PF13812.5,PF01535.19,PF01535.19,PF13041.5,PF13812.5,PF01535.19,PF13812.5,PF01535.19,PF01535.19	
Gene00067	K14559		
Gene00068		PF13041.5,PF01535.19,PF13812.5,PF12854.6,PF13041.5,PF01535.19,PF01535.19,PF17177.3,PF13812.5,PF13041.5,PF01535.19,PF12854.6,PF13041.5,PF01535.19,PF13812.5,PF12854.6,PF13041.5,PF01535.19,PF13812.5,PF01535.19,PF12854.6,PF13812.5,PF17177.3,PF13041.5,PF01535.19,PF12854.6,PF13041.5,PF01535.19,PF13041.5,PF01535.19,PF12854.6,PF01535.19	
Gene00069			
Gene00070			
Gene00071		PF00152.19	GO:0000166,GO:0004812,GO:0005524,GO:0006418
Gene00072		PF14291.5,PF05699.13	GO:0046983
Gene00073		PF15072.5	
Gene00074		PF13456.5	
Gene00075			
Gene00076		PF12710.6	
Gene00077			
Gene00078		PF00847.19	GO:0003700,GO:0006355
Gene00079		PF07651.15	GO:0005543
Gene00080		PF00646.32,PF14299.5	GO:0005515
Gene00081		PF00646.32,PF14299.5	GO:0005515
Gene00082		PF14299.5	
Gene00083	K01868	PF07973.13,PF00587.24,PF03129.19	GO:0000166,GO:0004812,GO:0005524,GO:0006418,GO:0016876,GO:0043039
Gene00084		PF13302.6,PF13523.5,PF00583.24,PF08445.9	GO:0008080,GO:0016747
Gene00085			
Gene00086	K14411		
Gene00087		PF13516.5,PF13855.5,PF00560.32,PF13516.5,PF00560.32,PF00560.32,PF00069.24,PF07714.16	GO:0004672,GO:0005515,GO:0005524,GO:0006468
Gene00088			
Gene00089	K00857	PF00265.17	GO:0004797,GO:0005524
Gene00090		PF07227.10,PF16312.4	
Gene00091	K08775	PF00634.17,PF00634.17,PF09169.9,PF09103.9	GO:0000724
Gene00092	K11593	PF16486.4,PF08699.9,PF02170.21,PF16488.4,PF02171.16	GO:0003676,GO:0005515
Gene00093			
Gene00094	K10520	PF13637.5,PF00651.30,PF00651.30	GO:0005515
Gene00095		PF09409.9	
Gene00096		PF00892.19	GO:0016020,GO:0016021
Gene00097		PF00083.23,PF07690.15	GO:0016021,GO:0022857,GO:0055085
Gene00098	K22374	PF00248.20	
Gene00099	K22374	PF00248.20	
Gene00100		PF00646.32,PF14299.5	GO:0005515
Gene00101			
Gene00102	K15166		
Gene00103		PF01554.17	GO:0006855,GO:0015238,GO:0015297,GO:0016020,GO:0055085
Gene00104			
Gene00105	K01939	PF00709.20,PF00709.20	GO:0004019,GO:0005525,GO:0006164
Gene00106			
Gene00107		PF00400.31	GO:0005515
Gene00108			
Gene00109			
Gene00110	K15166	PF11573.7	
Gene00111		PF11573.7	
Gene00112			
Gene00113			
Gene00114			
Gene00115	K22133	PF00501.27,PF13193.5	GO:0003824,GO:0008152
Gene00116			
Gene00117			
Gene00118			
Gene00119			
Gene00120			
Gene00121		PF13041.5,PF13812.5,PF12854.6,PF13041.5,PF01535.19,PF12854.6,PF13041.5,PF01535.19,PF13812.5,PF12854.6,PF01535.19,PF13812.5,PF12854.6,PF13041.5,PF01535.19,PF12854.6,PF13041.5,PF01535.19,PF13812.5,PF12854.6,PF01535.19,PF13041.5,PF12854.6,PF13041.5,PF01535.19,PF17177.3,PF13812.5,PF12854.6,PF13041.5,PF01535.19,PF12854.6,PF13041.5,PF01535.19,PF13812.5,PF12854.6,PF13041.5,PF01535.19,PF12854.6,PF01535.19,PF13041.5,PF13812.5,PF12854.6,PF13041.5,PF01535.19,PF12854.6,PF01535.19	
Gene00122		PF04827.13,PF13359.5	GO:0016788
Gene00123	K13101	PF12656.6,PF01585.22	GO:0003676
Gene00124			
Gene00125			
Gene00126			
Gene00127			
Gene00128			
Gene00129		PF05970.13,PF05970.13	GO:0000723,GO:0003678,GO:0006281
Gene00130	K01611	PF01536.15	GO:0004014,GO:0006597,GO:0008295
Gene00131		PF00899.20	GO:0008641
Gene00132			
Gene00133	K13448	PF13499.5,PF13202.5,PF13833.5,PF13202.5,PF13833.5,PF13499.5,PF00036.31,PF13405.5,PF13202.5,PF13833.5,PF00036.31,PF13202.5	GO:0005509
Gene00134			
Gene00135			
Gene00136		PF03605.13	GO:0015556,GO:0015740,GO:0016021
Gene00137			
Gene00138			
Gene00139			
Gene00140			
Gene00141		PF13193.5	
Gene00142			
Gene00143		PF00501.27	GO:0003824,GO:0008152
Gene00144			
Gene00145		PF00501.27	GO:0003824,GO:0008152
Gene00146		PF00501.27	GO:0003824,GO:0008152
Gene00147		PF04884.13	
Gene00148		PF00646.32	GO:0005515
Gene00149			
Gene00150		PF00249.30,PF13921.5,PF00249.30,PF13921.5	
Gene00151			
Gene00152	K08176	PF00083.23,PF07690.15	GO:0016021,GO:0022857,GO:0055085
Gene00153			
Gene00154			
Gene00155			
Gene00156			
Gene00157			
Gene00158			
Gene00159			
Gene00160			
Gene00161		PF04674.11	
Gene00162		PF10536.8	
Gene00163		PF00166.20	GO:0005737,GO:0006457
Gene00164		PF04674.11	
Gene00165			
Gene00166			
Gene00167			
Gene00168			
Gene00169	K13348		
Gene00170		PF07732.14	GO:0005507
Gene00171			
Gene00172		PF06813.12,PF07690.15	
Gene00173			
Gene00174		PF00098.22,PF14392.5,PF14392.5,PF13917.5,PF00098.22,PF14392.5,PF00098.22,PF13917.5,PF14392.5,PF00098.22	GO:0003676,GO:0008270
Gene00175		PF00035.25	
Gene00176	K12190	PF11605.7,PF04157.15	GO:0032266,GO:0043130
Gene00177	K00326	PF00970.23,PF00175.20	GO:0016491,GO:0055114
Gene00178			
Gene00179	K14802	PF16209.4,PF00122.19,PF00702.25,PF13246.5,PF16212.4	
Gene00180		PF02701.14	GO:0003677,GO:0006355
Gene00181		PF13855.5,PF00560.32,PF07714.16,PF00069.24	GO:0004672,GO:0005515,GO:0005524,GO:0006468
Gene00182	K13606	PF00106.24,PF13561.5,PF00106.24,PF13561.5	
Gene00183		PF00657.21	GO:0016788
Gene00184			
Gene00185		PF00612.26	GO:0005515
Gene00186		PF09348.9	
Gene00187			
Gene00188		PF03478.17	
Gene00189	K20295	PF04124.11	GO:0017119
Gene00190	K13510	PF01553.20	GO:0008152,GO:0016746
Gene00191		PF02374.14,PF01656.22,PF13614.5	
Gene00192		PF01476.19	
Gene00193			
Gene00194		PF05922.15,PF00082.21	GO:0004252,GO:0006508
Gene00195	K01115	PF00168.29,PF00614.21,PF00614.21,PF13091.5,PF12357.7	GO:0003824
Gene00196		PF03634.12	
Gene00197	K13335	PF08610.9	
Gene00198			
Gene00199	K01551	PF02374.14	
Gene00200		PF00145.16	
Gene00201	K15505	PF08797.10,PF00176.22	GO:0003676,GO:0005524,GO:0008270,GO:0016818
Gene00202	K01051	PF01095.18	GO:0005618,GO:0030599,GO:0042545
Gene00203		PF12874.6	
Gene00204	K12836	PF00642.23,PF00076.21,PF00642.23	GO:0003676,GO:0046872
Gene00205			
Gene00206			
Gene00207			
Gene00208		PF00176.22,PF13920.5,PF13923.5,PF13639.5,PF00097.24,PF14447.5,PF13445.5,PF00271.30	GO:0005524,GO:0046872
Gene00209			
Gene00210			
Gene00211	K05582	PF01058.21	GO:0051536,GO:0055114
Gene00212			
Gene00213	K02112	PF00006.24	GO:0005524
Gene00214	K02986	PF00163.18,PF01479.24	GO:0003723,GO:0005622,GO:0019843
Gene00215			
Gene00216			
Gene00217		PF00067.21	GO:0005506,GO:0016705,GO:0020037,GO:0055114
Gene00218		PF10536.8	
Gene00219	K00454	PF01477.22,PF00305.18	GO:0005515,GO:0016702,GO:0046872,GO:0055114
Gene00220		PF00067.21	GO:0005506,GO:0016705,GO:0020037,GO:0055114
Gene00221			
Gene00222	K15109	PF00153.26,PF00153.26,PF00153.26	
Gene00223			
Gene00224		PF04900.11	GO:0032040
Gene00225			
Gene00226		PF00319.17	GO:0003677,GO:0046983
Gene00227			
Gene00228		PF00153.26,PF00153.26	
Gene00229			
Gene00230			
Gene00231			
Gene00232			
Gene00233			
Gene00234		PF01535.19,PF01535.19,PF01535.19,PF13041.5,PF01535.19,PF01535.19,PF13041.5,PF01535.19,PF13041.5,PF01535.19,PF01535.19,PF13041.5,PF01535.19,PF13812.5,PF01535.19	
Gene00235		PF16711.4,PF16712.4	GO:0003779
Gene00236			
Gene00237			
Gene00238		PF10294.8	
Gene00239			
Gene00240			
Gene00241	K01640	PF00682.18	GO:0003824
Gene00242		PF15375.5	
Gene00243	K03635	PF02391.16	GO:0006777
Gene00244			
Gene00245	K00008	PF08240.11	GO:0055114
Gene00246	K00008	PF16912.4,PF00107.25,PF13602.5	GO:0055114
Gene00247		PF00642.23,PF14608.5,PF00400.31,PF00400.31,PF00400.31	GO:0005515,GO:0046872
Gene00248		PF02892.14,PF05699.13	GO:0003677
Gene00249		PF00067.21	GO:0005506,GO:0016705,GO:0020037,GO:0055114
Gene00250			
Gene00251			
Gene00252		PF00646.32,PF07723.12,PF08387.9	GO:0005515
Gene00253			
Gene00254		PF03097.17	
Gene00255		PF07723.12,PF00646.32	
Gene00256		PF00646.32,PF07723.12,PF08387.9	GO:0005515
Gene00257		PF00646.32,PF07723.12	GO:0005515
Gene00258		PF00646.32,PF07723.12,PF08387.9	GO:0005515
Gene00259			
Gene00260	K01963		
Gene00261			
Gene00262			
Gene00263			
Gene00264			
Gene00265			
Gene00266			
Gene00267	K03880	PF00507.18	GO:0008137,GO:0055114
Gene00268			
Gene00269			
Gene00270			
Gene00271		PF01578.19	GO:0017004,GO:0020037
Gene00272			
Gene00273			
Gene00274		PF05919.10	
Gene00275			
Gene00276			
Gene00277			
Gene00278			
Gene00279			
Gene00280			
Gene00281		PF01348.20	GO:0006397
Gene00282		PF01348.20	GO:0006397
Gene00283			
Gene00284			
Gene00285			
Gene00286			
Gene00287		PF00346.18	GO:0016651,GO:0048038,GO:0051287,GO:0055114
Gene00288			
Gene00289			
Gene00290			
Gene00291			
Gene00292			
Gene00293			
Gene00294			
Gene00295			
Gene00296			
Gene00297			
Gene00298	K01601	PF00016.19	GO:0000287
Gene00299			
Gene00300			
Gene00301		PF00119.19	GO:0015078,GO:0015986,GO:0045263
Gene00302		PF00119.19	GO:0015078,GO:0015986,GO:0045263
Gene00303			
Gene00304			
Gene00305			
Gene00306			
Gene00307			
Gene00308			
Gene00309		PF14223.5,PF03732.16	
Gene00310			
Gene00311		PF00499.19	GO:0008137,GO:0055114
Gene00312			
Gene00313			
Gene00314			
Gene00315			
Gene00316			
Gene00317			
Gene00318			
Gene00319			
Gene00320			
Gene00321		PF16327.4	
Gene00322			
Gene00323			
Gene00324			
Gene00325			
Gene00326			
Gene00327	K03879	PF00361.19	
Gene00328	K03879	PF00361.19	
Gene00329			
Gene00330			
Gene00331		PF05405.13	GO:0000276,GO:0015078,GO:0015986
Gene00332	K02132	PF00006.24,PF00306.26	GO:0005524,GO:0015986
Gene00333		PF00006.24,PF00306.26	GO:0005524,GO:0015986
Gene00334		PF00006.24,PF00306.26	GO:0005524,GO:0015986
Gene00335			
Gene00336		PF00306.26	GO:0015986
Gene00337			
Gene00338			
Gene00339	K02261	PF02790.14,PF00116.19	GO:0004129,GO:0005507,GO:0016020,GO:0016021,GO:0022900
Gene00340			
Gene00341			
Gene00342			
Gene00343		PF00338.21	
Gene00344			
Gene00345	K02256	PF00115.19	GO:0004129,GO:0005506,GO:0009055,GO:0009060,GO:0016021,GO:0020037,GO:0055114
Gene00346			
Gene00347			
Gene00348			
Gene00349			
Gene00350			
Gene00351			
Gene00352			
Gene00353			
Gene00354		PF00119.19	GO:0015078,GO:0015986,GO:0045263
Gene00355			
Gene00356			
Gene00357			
Gene00358			
Gene00359			
Gene00360			
Gene00361			
Gene00362			
Gene00363		PF00346.18,PF00346.18	GO:0016651,GO:0048038,GO:0051287,GO:0055114
Gene00364		PF00664.22,PF00005.26,PF00664.22	GO:0005524,GO:0006810,GO:0016021,GO:0016887,GO:0042626,GO:0055085
Gene00365		PF00664.22,PF00005.26	GO:0005524,GO:0006810,GO:0016021,GO:0016887,GO:0042626,GO:0055085
Gene00366			
Gene00367		PF00069.24,PF07714.16,PF06479.11	GO:0004540,GO:0004672,GO:0005524,GO:0006397,GO:0006468
Gene00368		PF01370.20,PF16363.4	
Gene00369		PF00403.25	GO:0030001,GO:0046872
Gene00370			
Gene00371	K11092		
Gene00372			
Gene00373			
Gene00374	K16196	PF00069.24,PF07714.16	GO:0004672,GO:0005524,GO:0006468
Gene00375		PF00146.20	GO:0016020,GO:0055114
Gene00376			
Gene00377		PF00146.20	GO:0016020,GO:0055114
Gene00378		PF03195.13	
Gene00379			
Gene00380	K01057	PF01182.19	GO:0005975
Gene00381			
Gene00382		PF01578.19	GO:0017004,GO:0020037
Gene00383	K03526	PF04551.13	GO:0016114,GO:0046429,GO:0055114
Gene00384		PF06017.12	GO:0003774,GO:0016459
Gene00385		PF08263.11,PF13855.5,PF00560.32,PF00069.24,PF07714.16	GO:0004672,GO:0005515,GO:0005524,GO:0006468
Gene00386	K00565	PF03291.15,PF13649.5	
Gene00387			
Gene00388	K00430	PF00141.22	GO:0004601,GO:0006979,GO:0020037,GO:0055114
Gene00389		PF14288.5	
Gene00390		PF04652.15	
Gene00391			
Gene00392			
Gene00393		PF05922.15,PF00082.21,PF02225.21	GO:0004252,GO:0006508
Gene00394			
Gene00395			
Gene00396	K08332		
Gene00397	K14561		
Gene00398	K12180		
Gene00399			
Gene00400			
Gene00401			
Gene00402	K02986	PF01479.24	GO:0003723
Gene00403			
Gene00404			
Gene00405			
Gene00406			
Gene00407			
Gene00408			
Gene00409		PF00931.21,PF01582.19,PF13676.5	GO:0005515,GO:0007165,GO:0043531
Gene00410		PF00201.17	GO:0008152,GO:0016758
Gene00411			
Gene00412			
Gene00413		PF11744.7,PF13515.5	GO:0015743
Gene00414	K00487	PF00067.21	GO:0005506,GO:0016705,GO:0020037,GO:0055114
Gene00415			
Gene00416			
Gene00417			
Gene00418			
Gene00419			
Gene00420			
Gene00421			
Gene00422		PF01582.19,PF13676.5	GO:0005515,GO:0007165
Gene00423		PF00931.21,PF07725.11,PF13306.5	GO:0043531
Gene00424		PF14144.5	GO:0006351,GO:0043565
Gene00425		PF07714.16,PF00069.24	GO:0004672,GO:0005524,GO:0006468
Gene00426			
Gene00427		PF11998.7	
Gene00428		PF05498.10	
Gene00429	K17479	PF00462.23	GO:0009055,GO:0015035,GO:0045454
Gene00430		PF00168.29	
Gene00431		PF13854.5,PF01344.24,PF01344.24	GO:0005515
Gene00432			
Gene00433		PF05911.10	
Gene00434		PF07707.14	
Gene00435		PF00651.30	GO:0005515
Gene00436		PF00651.30	GO:0005515
Gene00437			
Gene00438		PF17226.1	
Gene00439			
Gene00440	K14006	PF04815.14,PF00626.21	GO:0006886,GO:0006888,GO:0030127
Gene00441			
Gene00442	K01728	PF00544.18,PF13229.5	
Gene00443		PF14661.5	
Gene00444	K05356	PF00348.16	GO:0008299
Gene00445			
Gene00446			
Gene00447	K00412	PF00033.18,PF13631.5	GO:0009055,GO:0016020,GO:0016491
Gene00448	K00412	PF00033.18,PF13631.5,PF00032.16	GO:0009055,GO:0016020,GO:0016491
Gene00449		PF08513.10	GO:0005515
Gene00450		PF00400.31,PF00400.31	GO:0005515
Gene00451			
Gene00452			
Gene00453			
Gene00454		PF00931.21	GO:0043531
Gene00455		PF01582.19,PF13676.5	GO:0005515,GO:0007165
Gene00456			
Gene00457		PF00999.20,PF02254.17	GO:0006812,GO:0006813,GO:0015299,GO:0016021,GO:0055085
Gene00458	K02965	PF00203.20	GO:0003735,GO:0005840,GO:0006412
Gene00459			
Gene00460			
Gene00461			
Gene00462			
Gene00463			
Gene00464			
Gene00465		PF02234.18	GO:0004861,GO:0005634,GO:0007050
Gene00466			
Gene00467		PF10497.8	
Gene00468		PF14226.5,PF03171.19	
Gene00469		PF00069.24,PF07714.16,PF14531.5,PF03822.13	GO:0004672,GO:0005524,GO:0006468,GO:0007165
Gene00470			
Gene00471			
Gene00472			
Gene00473	K11145		
Gene00474	K09338	PF00046.28,PF01852.18	GO:0003677,GO:0008289
Gene00475			
Gene00476	K09286	PF00847.19	GO:0003700,GO:0006355
Gene00477		PF00571.27	
Gene00478		PF00067.21	GO:0005506,GO:0016705,GO:0020037,GO:0055114
Gene00479			
Gene00480	K10635		
Gene00481			
Gene00482		PF01535.19,PF13812.5,PF01535.19,PF01535.19,PF01535.19	
Gene00483			
Gene00484			
Gene00485			
Gene00486			
Gene00487		PF01582.19,PF13676.5	GO:0005515,GO:0007165
Gene00488	K10801	PF00730.24	GO:0006284
Gene00489		PF13456.5	
Gene00490			
Gene00491	K09377	PF00412.21,PF00412.21	
Gene00492	K23115		
Gene00493		PF13912.5,PF13894.5,PF00096.25,PF12874.6,PF13912.5,PF13912.5,PF13894.5	
Gene00494		PF00046.28,PF05920.10	GO:0003677,GO:0006355
Gene00495			
Gene00496		PF13764.5	
Gene00497		PF00225.22	GO:0003777,GO:0005524,GO:0007018,GO:0008017
Gene00498			
Gene00499			
Gene00500			
Gene00501	K01490	PF00962.21	GO:0019239
Gene00502			
Gene00503		PF02265.15	GO:0003676,GO:0004519,GO:0006308
Gene00504		PF01490.17	
Gene00505			
Gene00506		PF05641.11	
Gene00507		PF05623.11	
Gene00508		PF00179.25	
Gene00509			
Gene00510		PF00581.19	
Gene00511			
Gene00512	K20285		
Gene00513		PF00503.19	GO:0003924,GO:0004871,GO:0007186,GO:0019001,GO:0031683
Gene00514		PF00501.27,PF13193.5,PF00501.27	GO:0003824,GO:0008152
Gene00515		PF00294.23	
Gene00516			
Gene00517		PF13456.5	
Gene00518			
Gene00519			
Gene00520		PF00076.21	GO:0003676
Gene00521			
Gene00522			
Gene00523		PF00201.17,PF04101.15	GO:0008152,GO:0016758
Gene00524			
Gene00525	K16282	PF13639.5,PF17123.4,PF13923.5,PF00097.24,PF13445.5	GO:0046872
Gene00526	K19525	PF06101.10,PF06101.10	
Gene00527	K14571	PF07724.13,PF05496.11,PF00004.28,PF07728.13	GO:0005524,GO:0006281,GO:0006310,GO:0009378,GO:0016887
Gene00528		PF00004.28,PF05496.11,PF00004.28	GO:0005524,GO:0006281,GO:0006310,GO:0009378
Gene00529		PF05496.11,PF00004.28,PF07724.13	GO:0005524,GO:0006281,GO:0006310,GO:0009378
Gene00530	K14313	PF05172.12	
Gene00531			
Gene00532		PF10358.8	
Gene00533			
Gene00534			
Gene00535		PF01535.19,PF13812.5,PF01535.19,PF13041.5,PF01535.19,PF01535.19,PF01535.19,PF01535.19	
Gene00536			
Gene00537	K01179	PF00759.18	GO:0004553,GO:0005975
Gene00538			
Gene00539	K04554		
Gene00540	K02516	PF05185.15,PF17286.1,PF17285.1	
Gene00541			
Gene00542		PF02171.16	GO:0003676
Gene00543		PF02170.21,PF16488.4,PF02171.16	GO:0003676,GO:0005515
Gene00544		PF14111.5,PF14392.5	
Gene00545	K22807	PF01612.19	GO:0003676,GO:0006139,GO:0008408
Gene00546	K14003	PF00400.31,PF00400.31	GO:0005515
Gene00547		PF00031.20,PF16845.4	GO:0004869
Gene00548		PF00999.20	GO:0006812,GO:0015299,GO:0016021,GO:0055085
Gene00549		PF00635.25	
Gene00550			
Gene00551	K08238	PF05637.11	GO:0016021,GO:0016757
Gene00552		PF03073.14	GO:0016021
Gene00553			
Gene00554		PF00847.19	GO:0003700,GO:0006355
Gene00555		PF00847.19	GO:0003700,GO:0006355
Gene00556			
Gene00557	K00815	PF00155.20,PF00155.20	GO:0009058,GO:0030170
Gene00558	K20722	PF02453.16	
Gene00559	K09284	PF00847.19,PF00847.19	GO:0003700,GO:0006355
Gene00560	K02698	PF01241.17	GO:0009522,GO:0015979,GO:0016020
Gene00561			
Gene00562			
Gene00563		PF13456.5	
Gene00564			
Gene00565			
Gene00566			
Gene00567		PF10716.8	GO:0016655,GO:0055114
Gene00568		PF10151.8	
Gene00569			
Gene00570			
Gene00571	K00979	PF02348.18	
Gene00572			
Gene00573			
Gene00574			
Gene00575			
Gene00576			
Gene00577	K01114	PF04185.13	GO:0016788
Gene00578			
Gene00579		PF16916.4	
Gene00580		PF04819.11	
Gene00581		PF01582.19,PF13676.5,PF00931.21,PF07725.11	GO:0005515,GO:0007165,GO:0043531
Gene00582	K06632	PF00069.24,PF07714.16	GO:0004672,GO:0005524,GO:0006468
Gene00583		PF03169.14,PF03169.14	GO:0055085
Gene00584		PF03169.14	GO:0055085
Gene00585		PF13181.5	GO:0005515
Gene00586			
Gene00587		PF14223.5	
Gene00588		PF14226.5,PF03171.19	GO:0016491,GO:0055114
Gene00589		PF00400.31,PF00400.31,PF00400.31	GO:0005515
Gene00590		PF00642.23,PF14608.5	GO:0046872
Gene00591	K12153	PF00067.21	GO:0005506,GO:0016705,GO:0020037,GO:0055114
Gene00592		PF11955.7	
Gene00593	K22647	PF13898.5	
Gene00594	K02518	PF01176.18	GO:0003723,GO:0003743,GO:0006413
Gene00595		PF00651.30,PF00514.22	GO:0005515
Gene00596		PF08031.11	GO:0016491,GO:0050660,GO:0055114
Gene00597		PF01565.22	GO:0016491,GO:0050660,GO:0055114
Gene00598		PF00892.19,PF00892.19	GO:0016020,GO:0016021
Gene00599		PF03109.15	
Gene00600		PF01936.17	
Gene00601		PF00400.31,PF00400.31	GO:0005515
Gene00602			
Gene00603	K06627	PF00134.22,PF02984.18	GO:0005634
